No.,Nama Produk,Deskripsi,Total Pesanan,Harga Barang,Gerindra,Obat,Amplas,Scotch Brite,Packing,Total Harga
1,Stoel Joey,Sedang,50,Mahal,Sedang,Kecil,Besar,Sedang,Sedang,Mahal
2,Bank Joey 120,Sedang,30,Sedang,Kecil,Kecil,Kecil,Kecil,Kecil,Murah
3,Bank Joey 150,Sedang,30,Mahal,Sedang,Sedang,Kecil,Kecil,Kecil,Mahal
4,Bank Joey 180,Sedang,30,Mahal,Sedang,Kecil,Besar,Kecil,Kecil,Mahal
5,Ligbed Kathleen,Besar,60,Mahal,Besar,Besar,Sedang,Sedang,Sedang,Mahal
6,Ligbed Valerie,Besar,60,Mahal,Sedang,Besar,Sedang,Sedang,Sedang,Mahal
7,Tafel Monica 90x180,Sedang,35,Mahal,Sedang,Sedang,Kecil,Kecil,Kecil,Murah
8,Tafel Blad Recht 100x200,Sedang,50,Mahal,Sedang,Sedang,Sedang,Sedang,Sedang,Murah
9,Deckschair Dessy,Murah,,,,,,,,
10,Tafel Catalena 90/180,Sedang,50,Mahal,Sedang,Besar,Sedang,Sedang,Sedang,Mahal
11,Tafel Sigrid Dia. 100,Sedang,50,Mahal,Sedang,Sedang,Kecil,Kecil,Sedang,Murah
